Date,Time,Temperature (°C),Humidity (%),Pressure (hPa),Light Intensity (Lux),CO2 (ppm),PM1.0 (µg/m³),PM2.5 (µg/m³),PM10.0 (µg/m³),Uptime,Sensors Online
14/3/2026,11:41:52 am,37.18,35.61,1012.82,96.77,0,45,66,77,N/A,N/A
14/3/2026,11:42:02 am,37.13,35.61,1012.83,96.31,0,44,64,75,N/A,N/A
14/3/2026,11:42:12 am,37.12,35.71,1012.82,95.85,0,43,63,74,N/A,N/A
14/3/2026,11:42:22 am,37.13,35.61,1012.8,76.95,0,43,64,74,N/A,N/A
14/3/2026,11:42:32 am,37.12,35.71,1012.85,119.35,0,43,63,74,N/A,N/A
14/3/2026,11:42:43 am,37.1,35.71,1012.83,119.81,0,45,64,75,N/A,N/A
14/3/2026,11:42:53 am,37.1,35.71,1012.8,87.09,0,43,61,74,N/A,N/A
14/3/2026,11:43:03 am,37.06,35.8,1012.79,120.27,0,44,64,75,N/A,N/A
14/3/2026,11:43:13 am,37.06,35.8,1012.81,118.43,0,44,65,75,N/A,N/A
14/3/2026,11:43:24 am,37.06,35.8,1012.78,118.43,0,43,66,76,N/A,N/A
14/3/2026,11:43:34 am,37.1,35.8,1012.8,120.73,0,44,66,77,N/A,N/A
14/3/2026,11:43:44 am,37.09,35.8,1012.81,120.27,0,45,65,76,N/A,N/A
14/3/2026,11:43:54 am,37.13,35.8,1012.81,118.43,0,44,65,75,N/A,N/A
14/3/2026,11:44:05 am,37.12,35.8,1012.79,119.81,0,43,63,73,N/A,N/A
14/3/2026,11:44:15 am,37.15,35.9,1012.79,119.81,0,43,64,74,N/A,N/A
14/3/2026,11:44:25 am,37.12,35.8,1012.77,118.89,0,43,66,75,N/A,N/A
14/3/2026,11:44:35 am,37.13,35.8,1012.74,120.27,0,44,67,76,N/A,N/A
14/3/2026,11:44:46 am,37.2,35.71,1012.82,118.89,0,42,65,75,N/A,N/A
14/3/2026,11:44:56 am,37.18,35.8,1012.79,118.89,0,44,66,75,N/A,N/A
14/3/2026,11:45:06 am,37.2,35.71,1012.77,118.43,0,44,65,74,N/A,N/A
14/3/2026,11:45:16 am,37.18,35.71,1012.79,63.13,0,45,65,74,N/A,N/A
14/3/2026,11:45:26 am,37.2,36.97,1012.79,112.44,0,42,63,74,N/A,N/A
14/3/2026,11:45:36 am,37.2,35.8,1012.8,119.35,0,43,64,75,N/A,N/A
14/3/2026,11:45:46 am,37.2,35.8,1012.78,120.27,0,45,66,76,N/A,N/A
14/3/2026,11:45:57 am,37.18,35.71,1012.75,118.89,0,45,66,76,N/A,N/A
14/3/2026,11:46:07 am,37.18,35.71,1012.81,119.35,0,46,68,78,N/A,N/A
14/3/2026,11:46:17 am,37.18,35.71,1012.77,117.5,0,46,68,76,N/A,N/A
14/3/2026,11:46:27 am,37.17,35.71,1012.81,120.73,0,46,68,76,N/A,N/A
14/3/2026,11:46:38 am,37.18,35.71,1012.77,119.81,0,47,68,77,N/A,N/A
14/3/2026,11:46:48 am,37.18,35.71,1012.77,119.35,0,45,67,76,N/A,N/A
14/3/2026,11:46:58 am,37.21,35.71,1012.78,120.73,0,47,68,77,N/A,N/A
Invalid Date,Invalid Date,37.21,35.8,1012.76,120.73,0,45,67,77,N/A,N/A
14/3/2026,11:47:45 am,37.2,35.8,1012.74,120.27,0,44,67,77,N/A,N/A
14/3/2026,11:47:51 am,37.18,35.8,1012.75,121.19,0,43,66,76,N/A,N/A
14/3/2026,11:48:01 am,37.21,35.8,1012.72,118.89,0,44,66,76,N/A,N/A
14/3/2026,11:48:11 am,37.18,35.8,1012.73,109.67,0,44,64,75,N/A,N/A
14/3/2026,11:48:21 am,37.2,35.8,1012.74,120.27,0,43,64,74,N/A,N/A
14/3/2026,11:48:31 am,37.21,35.8,1012.78,120.27,0,45,66,76,N/A,N/A
14/3/2026,11:48:41 am,37.2,35.8,1012.7,119.35,0,46,67,77,N/A,N/A
14/3/2026,11:48:51 am,37.18,35.9,1012.74,117.5,0,45,65,75,N/A,N/A
14/3/2026,11:49:02 am,37.21,35.8,1012.75,114.74,0,45,65,75,N/A,N/A
14/3/2026,11:49:12 am,37.21,35.8,1012.76,118.89,0,45,64,75,N/A,N/A
14/3/2026,11:49:22 am,37.22,35.9,1012.74,117.04,0,45,66,75,N/A,N/A
14/3/2026,11:49:32 am,37.24,35.71,1012.71,119.81,0,46,68,76,N/A,N/A
14/3/2026,11:49:42 am,37.24,35.71,1012.64,120.27,0,45,68,77,N/A,N/A
14/3/2026,11:49:52 am,37.25,35.71,1012.71,118.43,0,42,64,75,N/A,N/A
14/3/2026,11:51:01 am,35.28,38.75,1012.72,33.18,0,48,67,73,N/A,N/A
14/3/2026,11:51:11 am,35.48,39.24,1012.72,40.09,500,44,66,72,N/A,N/A
14/3/2026,11:51:21 am,35.75,39.1,1012.74,40.09,500,45,68,76,N/A,N/A
14/3/2026,11:51:31 am,36.01,38.7,1012.7,40.09,500,45,65,76,N/A,N/A
14/3/2026,11:51:41 am,36.25,38.21,1012.68,40.09,500,43,63,74,N/A,N/A
14/3/2026,11:51:51 am,36.49,37.8,1012.7,40.55,500,44,64,75,N/A,N/A
14/3/2026,11:52:01 am,36.69,37.59,1012.68,40.55,500,46,68,76,N/A,N/A
Invalid Date,Invalid Date,36.84,37.57,1012.72,41.01,0,46,69,78,N/A,N/A
14/3/2026,11:52:37 am,36.9,37.37,1012.74,40.55,500,43,66,75,N/A,N/A
14/3/2026,11:52:47 am,37.05,37.26,1012.68,39.63,500,45,69,77,N/A,N/A
14/3/2026,11:52:57 am,37.09,37.35,1012.7,23.96,500,45,68,77,N/A,N/A
14/3/2026,11:53:07 am,37.13,36.97,1012.74,41.01,500,46,68,78,N/A,N/A
14/3/2026,11:53:17 am,37.27,36.87,1012.72,40.55,500,45,66,76,N/A,N/A
14/3/2026,11:53:27 am,37.4,36.66,1012.72,40.55,1341,43,66,74,N/A,N/A
14/3/2026,11:53:37 am,37.49,36.46,1012.7,35.48,1264,44,68,76,N/A,N/A
14/3/2026,11:53:47 am,37.62,36.35,1012.71,35.94,1073,44,67,74,N/A,N/A
14/3/2026,11:53:57 am,37.7,36.16,1012.65,37.32,947,43,65,74,N/A,N/A
14/3/2026,11:54:07 am,37.81,35.85,1012.71,39.63,897,43,65,74,N/A,N/A
14/3/2026,11:54:18 am,37.44,44.03,1012.73,10.6,1649,45,66,74,N/A,N/A
14/3/2026,11:54:28 am,37.57,42.17,1012.71,38.25,3537,44,65,75,N/A,N/A
14/3/2026,11:54:38 am,37.7,39.16,1012.68,37.79,3780,46,66,76,N/A,N/A
14/3/2026,11:54:48 am,37.81,37.88,1012.66,37.79,3342,44,64,76,N/A,N/A
14/3/2026,11:54:58 am,37.93,37.3,1012.7,32.72,2949,45,65,77,N/A,N/A
14/3/2026,11:55:08 am,38.01,36.82,1012.69,28.57,2296,45,65,76,N/A,N/A
14/3/2026,11:55:19 am,38.12,36.51,1012.71,29.95,2065,45,66,76,N/A,N/A
14/3/2026,11:55:29 am,38.2,36.22,1012.69,38.71,1638,45,67,79,N/A,N/A
14/3/2026,11:55:39 am,38.3,36,1012.69,39.63,1446,45,66,76,N/A,N/A
14/3/2026,11:55:49 am,38.35,35.62,1012.66,39.63,1196,45,65,75,N/A,N/A
14/3/2026,11:56:00 am,38.42,35.52,1012.66,39.63,1019,44,66,75,N/A,N/A
14/3/2026,11:56:10 am,38.52,35.42,1012.7,27.19,965,44,66,76,N/A,N/A
14/3/2026,12:02:34 pm,37.27,35.13,1012.55,4.61,0,44,67,76,N/A,N/A
14/3/2026,12:03:21 pm,36.2,36.65,1012.5,40.55,0,46,68,85,N/A,N/A
14/3/2026,12:03:31 pm,36.22,36.75,1012.46,70.5,0,46,69,79,N/A,N/A
14/3/2026,12:03:41 pm,36.27,36.55,1012.46,69.58,0,49,74,81,N/A,N/A
14/3/2026,12:03:50 pm,36.34,36.54,1012.51,71.42,0,50,74,82,N/A,N/A
14/3/2026,12:04:01 pm,36.43,36.44,1012.45,52.99,0,49,74,81,N/A,N/A
14/3/2026,12:04:11 pm,36.46,36.44,1012.49,61.75,0,48,72,79,N/A,N/A
14/3/2026,12:04:21 pm,36.46,36.34,1012.44,57.14,0,45,67,75,N/A,N/A
14/3/2026,12:04:31 pm,36.49,36.34,1012.4,59.44,0,45,68,76,N/A,N/A
14/3/2026,12:04:41 pm,36.6,36.13,1012.42,59.9,0,47,71,78,N/A,N/A
14/3/2026,12:04:51 pm,36.59,36.04,1012.39,61.75,0,50,73,79,N/A,N/A
14/3/2026,12:05:01 pm,36.57,35.94,1012.51,61.29,0,50,74,79,N/A,N/A
14/3/2026,12:05:11 pm,36.6,35.94,1012.46,61.75,0,50,74,79,N/A,N/A
14/3/2026,12:05:22 pm,36.6,35.84,1012.49,61.29,0,51,76,84,N/A,N/A
14/3/2026,12:05:32 pm,36.64,35.74,1012.45,60.36,0,49,73,81,N/A,N/A
14/3/2026,12:05:42 pm,36.68,35.64,1012.46,43.32,0,48,72,80,N/A,N/A
14/3/2026,12:05:52 pm,36.72,35.74,1012.47,59.44,0,46,69,77,N/A,N/A
14/3/2026,12:06:02 pm,36.72,35.74,1012.44,57.14,0,45,67,76,N/A,N/A
14/3/2026,12:06:12 pm,36.71,35.74,1012.43,788.89,0,45,68,76,N/A,N/A
14/3/2026,12:06:23 pm,36.76,35.64,1012.46,59.9,0,43,66,74,N/A,N/A
14/3/2026,12:06:33 pm,36.87,36.5,1012.45,21.66,0,44,67,75,N/A,N/A
14/3/2026,12:06:43 pm,125,36.02,1012.43,58.98,0,45,67,75,N/A,N/A
14/3/2026,12:06:53 pm,125,34.95,1012.43,76.49,0,47,71,77,N/A,N/A
14/3/2026,12:07:03 pm,125,34.85,1012.43,77.88,0,46,69,76,N/A,N/A
14/3/2026,12:07:13 pm,125,34.83,1012.41,78.34,0,46,67,76,N/A,N/A
14/3/2026,12:07:24 pm,125,34.93,1012.43,79.26,0,46,68,77,N/A,N/A
14/3/2026,12:07:34 pm,125,34.93,1012.41,79.26,0,45,69,79,N/A,N/A
14/3/2026,12:07:44 pm,125,34.83,1012.44,70.5,0,44,67,76,N/A,N/A
14/3/2026,12:07:54 pm,125,34.74,1012.42,76.03,0,43,64,74,N/A,N/A
14/3/2026,12:08:05 pm,125,34.35,1012.43,76.49,0,43,61,73,N/A,N/A
14/3/2026,12:08:15 pm,125,34.44,1012.35,76.49,0,43,60,72,N/A,N/A
14/3/2026,12:08:25 pm,125,34.44,1012.4,76.49,0,41,59,72,N/A,N/A
14/3/2026,12:08:35 pm,125,34.44,1012.4,76.49,0,41,59,72,N/A,N/A
14/3/2026,12:08:45 pm,125,34.44,1012.4,77.41,0,42,60,73,N/A,N/A
14/3/2026,12:08:56 pm,125,34.25,1012.43,75.57,0,41,59,71,N/A,N/A
14/3/2026,12:09:06 pm,125,34.06,1012.45,76.03,0,42,60,72,N/A,N/A
14/3/2026,12:09:16 pm,125,34.06,1012.4,76.95,0,42,62,73,N/A,N/A
14/3/2026,12:09:26 pm,125,33.84,1012.4,77.41,0,41,61,72,N/A,N/A
14/3/2026,12:09:46 pm,125,33.56,1012.37,77.41,0,42,61,72,N/A,N/A
14/3/2026,12:09:56 pm,125,33.65,1012.39,77.88,0,44,65,75,N/A,N/A
14/3/2026,12:10:06 pm,125,33.65,1012.38,77.41,0,45,67,75,N/A,N/A
14/3/2026,12:10:40 pm,36.81,34.75,1012.32,71.88,0,44,66,76,N/A,N/A
14/3/2026,12:10:49 pm,36.9,34.56,1012.36,69.12,0,44,66,76,N/A,N/A
14/3/2026,12:10:59 pm,37,34.46,1012.36,67.74,0,43,67,76,N/A,N/A
14/3/2026,12:11:09 pm,37.13,34.16,1012.33,67.28,0,44,66,76,N/A,N/A
14/3/2026,12:11:19 pm,37.24,33.96,1012.33,65.89,0,43,64,75,N/A,N/A
14/3/2026,12:11:29 pm,37.39,33.84,1012.34,64.97,0,43,64,75,N/A,N/A
14/3/2026,12:11:39 pm,37.44,33.65,1012.32,65.89,0,42,63,74,N/A,N/A
14/3/2026,12:11:50 pm,37.55,33.15,1012.32,64.51,0,42,64,74,N/A,N/A
14/3/2026,12:12:00 pm,37.6,33.25,1012.33,64.51,0,43,64,74,N/A,N/A
14/3/2026,12:12:10 pm,37.7,33.44,1012.37,70.04,0,44,63,75,N/A,N/A
14/3/2026,12:12:20 pm,37.75,33.64,1012.32,70.5,0,42,61,74,N/A,N/A
14/3/2026,12:12:30 pm,37.7,33.73,1012.33,70.5,0,42,62,73,N/A,N/A
14/3/2026,12:12:40 pm,37.67,33.64,1012.34,70.04,0,41,60,72,N/A,N/A
14/3/2026,12:12:50 pm,37.72,33.44,1012.31,70.5,0,42,61,73,N/A,N/A
14/3/2026,12:13:00 pm,37.78,33.44,1012.32,28.11,0,43,62,73,N/A,N/A
14/3/2026,12:13:10 pm,37.81,33.52,1012.3,69.12,0,46,68,75,N/A,N/A
14/3/2026,12:13:20 pm,37.84,33.52,1012.27,70.5,0,47,68,75,N/A,N/A
14/3/2026,12:13:31 pm,37.85,33.52,1012.32,70.5,0,46,69,76,N/A,N/A
